Compound_ID,SMILES,IC50_nM,pActivity,Measurements,Sources,Scaffold
BCRABL_002103,CNC(=O)CCc1ccc(NC(=O)[C@H](CC(C)(C)C)NC(=O)c2cc(CNC(=O)c3ccc(OCCN(C)C)cc3)ccc2F)cc1,90.0,7.045757490560675,1,BindingDB,O=C(CNC(=O)c1cccc(CNC(=O)c2ccccc2)c1)Nc1ccccc1
BCRABL_002104,Cc1cc(C)cc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c1,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002105,Cc1ccccc1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002106,O=C(Nc1cc(C(F)F)ns1)Nc1ccnc(F)c1CO,90.0,7.045757490560675,1,BindingDB,O=C(Nc1ccncc1)Nc1ccns1
BCRABL_002107,Cc1cccc(C)c1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90.0,7.045757490560675,1,BindingDB,O=C(NN=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1)c1cc2ccccc2oc1=O
BCRABL_002108,Cc1ncnc(C)c1-c1ccc2nc(NC(=O)[C@@H]3C[C@@H]3F)sc2c1,90.6,7.042871802323187,2,BindingDB,O=C(Nc1nc2ccc(-c3cncnc3)cc2s1)C1CC1
BCRABL_002109,Cc1cc(-c2cncc(-c3ccnc(Nc4cc(NC(=O)c5ccc(CN6CCN(C)CC6)cc5)ccc4C)n3)c2)sn1,91.0,7.040958607678906,1,BindingDB,O=C(Nc1cccc(Nc2nccc(-c3cncc(-c4ccns4)c3)n2)c1)c1ccc(CN2CCNCC2)cc1
BCRABL_002110,CNCCOc1ccc(C(=O)NCc2cccc(C(=O)N[C@@H](CC(C)(C)C)C(=O)Nc3ccc(Cn4ccnc4)cc3)c2)cc1,91.0,7.040958607678906,1,BindingDB,O=C(CNC(=O)c1cccc(CNC(=O)c2ccccc2)c1)Nc1ccc(Cn2ccnc2)cc1
BCRABL_002111,CC(C)(C)n1ccc(C(=O)NCC(=O)Nc2nc(-c3ccccc3)cs2)c1,91.0,7.040958607678906,1,BindingDB,O=C(CNC(=O)c1cc[nH]c1)Nc1nc(-c2ccccc2)cs1
BCRABL_002112,CNC(=O)c1cc(NC(=O)C2=NN=C(c3cncc(-c4ccnc(Nc5cc(NC(=O)c6ccc(CN7CCN(C)CC7)cc6)ccc5C)n4)c3)C2)[nH]n1,91.1,7.040481623027002,1,BindingDB,O=C(Nc1ccn[nH]1)C1=NN=C(c2cncc(-c3ccnc(Nc4cccc(NC(=O)c5ccc(CN6CCNCC6)cc5)c4)n3)c2)C1
BCRABL_002113,CNC(=O)c1cc(-c2cncc(-c3ccnc(Nc4cc(NC(=O)c5ccc(CN6CCN(C)CC6)cc5)ccc4C)n3)c2)[nH]n1,91.1,7.040481623027002,1,BindingDB,O=C(Nc1cccc(Nc2nccc(-c3cncc(-c4ccn[nH]4)c3)n2)c1)c1ccc(CN2CCNCC2)cc1
BCRABL_002114,COc1ccccc1NC(=O)N1CCOc2ccc(-c3ccncc3)cc2C1,92.0,7.036212172654444,1,BindingDB,O=C(Nc1ccccc1)N1CCOc2ccc(-c3ccncc3)cc2C1
BCRABL_002115,CC(Cc1ccccc1)Oc1cc(-c2ccccc2O)nnc1N,92.5,7.033858267260968,1,BindingDB,c1ccc(CCOc2cnnc(-c3ccccc3)c2)cc1
BCRABL_002116,COc1ccc(C(=O)Nc2cc(-n3cnc(C)c3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,93.0,7.031517051446065,1,BindingDB,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(C#Cc2cnc3cccnn23)c1
